Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Résumé
L'Ascension de Jupiter,Jupiter Ascending,2015,Picture 24391,S,S,"Née sous un ciel étoilé, Jupiter Jones est promise à un destin hors du commun. Devenue adulte, elle a la tête dans les étoiles, mais enchaîne les coups durs et n'a d'autre perspective que de gagner sa vie en nettoyant des toilettes. Ce n'est que lorsque Caine, ancien chasseur militaire génétiquement modifié, débarque sur Terre pour retrouver sa trace que Jupiter commence à entrevoir le destin qui l'attend depuis toujours : grâce à son empreinte génétique, elle doit bénéficier d'un héritage extraordinaire qui pourrait bien bouleverser l'équilibre du cosmos…"
L'Héritage de Jupiter,Jupiter's Legacy,2021,Picture 4883,D,D,"Tandis que la première génération de super-héros au monde est vénérée, la suivante a du mal à rester à la hauteur des exploits légendaires de ses parents. "
La Lune de Jupiter,Jupiter's Moon,2017,Picture 2219,A,,"Un jeune migrant se fait tirer dessus alors qu'il traverse illégalement la frontière. Sous le coup de sa blessure, Aryan découvre qu'il a maintenant le pouvoir de léviter. Jeté dans un camp de réfugiés, il s'en échappe avec l'aide du Dr Stern qui nourrit le projet d'exploiter son extraordinaire secret. Les deux hommes prennent la fuite en quête d'argent et de sécurité, poursuivis par le directeur du camp. Fasciné par l'incroyable don d'Aryan, Stern décide de tout miser sur un monde où les miracles s'achètent. "
Jurassic Fight Club,Jurassic Fight Club,2008,Picture 21843,L,,Des scientifiques étudient les combats entre des créatures préhistoriques quand celles-ci peuplaient encore la Terre et les océans. Chaque épisode raconte à la manière d'une analyse médico-légale les batailles qui ont pu avoir lieu entre ces géants préhistoriques.
Jurassic Galaxy,Jurassic Galaxy,2018,Picture 2813,B,C,"Après une défaillance technique, un vaisseau spatial s'écrase sur une planète inconnue. L'équipage découvre que ce monde est dominé par les dinosaures"
Le Parc Jurassique,Jurassic Park,1993,Picture 21844,L,L,"Ne pas réveiller le chat qui dort... C'est ce que le milliardaire John Hammond aurait dû se rappeler avant de se lancer dans le ""clonage"" de dinosaures. C'est à partir d'une goutte de sang absorbée par un moustique fossilisé que John Hammond et son équipe ont réussi à faire renaître une dizaine d'espèces de dinosaures. Il s'apprête maintenant avec la complicité du docteur Alan Grant, paléontologue de renom, et de son amie Ellie, à ouvrir le plus grand parc à thème du monde. Mais c'était sans compter la cupidité et la malveillance de l'informaticien Dennis Nedry, et éventuellement des dinosaures, seuls maîtres sur l'île... "
Le Parc Jurassique 2,Jurassic Park 2,1997,Picture 21845,N,N,"Quatre ans après le terrible fiasco de son Jurassic Park, le milliardaire John Hammond rappelle le Dr Ian Malcolm pour l'informer de son nouveau projet. Sur une île déserte, voisine du parc, vivent en liberté des centaines de dinosaures de toutes tailles et de toutes espèces. Ce sont des descendants des animaux clônes en laboratoire. D'abord réticent, Ian se décide à rejoindre le docteur quand il apprend que sa fiancée fait partie de l'expédition scientifique. Il ignore qu'une autre expédition qui n'a pas les mêmes buts est également en route. "
Le Parc Jurassique 3,Jurassic Park 3,2001,Picture 21846,N,N,"Huit ans après les événements surréalistes survenus lors de sa visite au Jurassic Park du richissime John Hammond, le paléontologue Alan Grant se rappelle toujours de sa rencontre, d'abord magique puis effroyable, avec ces dinosaures ramenés à la vie grâce aux incroyables progrès de la génétique. À l'origine, ces créatures de la Préhistoire n'étaient pas censées se reproduire ni survivre, mais elles ont déjoué les plans des scientifiques. Elles sont probablement toujours en vie sur l'île Isla Sorna.Alan étudie l'intelligence des vélociraptors. Cependant, il manque de subventions pour financer ses recherches. Paul Kirby et sa femme Amanda, un couple richissime, lui proposent alors une grosse somme d'argent s'il leur fait survoler la fameuse île. Alan accepte leur offre. Mais celui-ci flaire une entourloupe lorsque le pilote amorce sa descente sur l'île. Il découvre alors les vraies raisons de l'excursion organisée par les Kirby : sauver Eric, leur fils disparu dans les environs. Ces derniers avaient besoin de son aide, car il est le seul à connaître l'île et ses mystérieux occupants. Cependant, au moment où l'avion s'apprête à redécoller, un spinosaure tente de piétiner l'appareil... "
Le Monde Jurassique,Jurassic World,2015,Picture 24857,U,U,"L'Indominus Rex, un dinosaure génétiquement modifié, pure création de la scientifique Claire Dearing, sème la terreur dans le fameux parc d'attraction. Les espoirs de mettre fin à cette menace reptilienne se portent alors sur le dresseur de raptors Owen Grady et sa cool attitude."
Le Monde Jurassique 2 - Le royaume Déchu,Jurassic World 2 - Fallen Kingdom,2018,Picture 2581,A,A,"Cela fait maintenant trois ans que les dinosaures se sont échappés de leurs enclos et ont détruit le parc à thème et complexe de luxe Jurassic World. Isla Nublar a été abandonnée par les humains alors que les dinosaures survivants sont livrés à eux-mêmes dans la jungle. Lorsque le volcan inactif de l'île commence à rugir, Owen et Claire s’organisent pour sauver les dinosaures restants de l’extinction.  Owen se fait un devoir de retrouver Blue, son principal raptor qui a disparu dans la nature, alors que Claire, qui a maintenant un véritable respect pour ces créatures, s’en fait une mission. Arrivant sur l'île instable alors que la lave commence à pleuvoir, leur expédition découvre une conspiration qui pourrait ramener toute notre planète à un ordre périlleux jamais vu depuis la préhistoire."
Scorpion Noir,Just Cause,1995,Picture 21847,N,N,"Paul Armstrong, honorable professeur de droit de Harvard, farouchement oppose a la peine capitale, est contacte par une vieille femme noire de condition modeste qui l'implore d'assurer la defense de son petit-fils, Bobby Earl Ferguson, condamne a mort pour le viol et l'assassinat d'une fillette de 11 ans. "
Simplement Amis,Just Friends,2005,Picture 3458,C,C,"Adolescent, Rick assume mal son physique et se retrouve souvent victime des moqueries de camarades malintentionnés. Pour couronner le tout, Jamie, la plus jolie fille du lycée, ne voit dans leur relation qu'une franche camaraderie. Un jour s'en est trop: il quitte le New Jersey. Dix ans plus tard Rick est devenu la coqueluche de ces dames. Par un concours de circonstances, il retourne dans sa ville natale et retrouve Jamie, qu'il n'a jamais cessé d'aimer. Il décide alors de la conquérir, mais c'est sans compter sur Samantha; la pop star insupportable dont il est le manager ..."
Méchant Menteur,Just Go with It,2011,Picture 24164,S,S,"Pour rester libre et éviter toute forme d’engagement, Danny a toujours prétendu être marié. Mais voilà qu’il tombe amoureux… Désirant se libérer de ce mensonge devenu trop encombrant, il demande à sa fidèle assistante, Katherine, de se faire passer pour son ex-femme. Le problème, c’est qu’à force d’empiler les bobards, Danny ne va pas pouvoir se contenter d’en rester là, et ce sont bientôt les enfants de son assistante qui se retrouvent à faire semblant d’être les siens… 
L’engrenage infernal est lancé et la situation va vite devenir intenable, d’autant que tout ce petit monde se retrouve pour un week-end mouvementé à Hawaï… "
Just Heroes,Just Heroes,1989,Picture 3480,C,C,"L'assassinat de Cho, un puissant chef de gang hongkongais, va declencher une guerre terrible entre les quatre pretendants a sa succession. "
Et si c'était Vrai,Just Like Heaven,2005,Picture 544,M,M,"Alors que David s'installe dans l'appartement qu'il vient de louer, une jeune femme, Elizabeth, apparaît soudainement, affirmant que cet appartement est le sien. David pense d'abord avoir affaire à un malentendu... jusqu'à ce qu'Elizabeth disparaisse aussi mystérieusement qu'elle était apparue.
Cette dernière commence à apparaître et à disparaître à volonté. Convaincu qu'elle est un fantôme, David tente d'aider Elizabeth à passer de ""l'autre côté"". Mais celle-ci est certaine d'être encore en vie. "
La Voie de la justice,Just Mercy,2019,Picture 3750,C,C,"Le combat historique du jeune avocat Bryan Stevenson.  Après ses études à l’université de Harvard, Bryan Stevenson aurait pu se lancer dans une carrière des plus lucratives. Il décide pourtant de se rendre en Alabama pour défendre ceux qui ont été condamnés à tort, avec le soutien d’une militante locale, Eva Ansley."
Les Visiteurs en Amérique,Just Visiting,2001,Picture 21953,O,,"Durant la guerre de cent ans, le duc français Thibault de Malfète s'apprête à épouser Rosaline, la fille du roi de Grande-Bretagne. Cependant, Earl de Warrick a l'intention de s'opposer au mariage. Une sorcière lui a concocté une potion à offrir au duc Thibault.
 Celui-ci, ne soupçonnant pas la traîtrise, l'ingurgite. Aussitôt victime d'hallucinations, il tue accidentellement sa bien-aimée. Un geste irréversible qui lui vaut la peine de mort. Le duc Thibault est toutefois sauvé par son fidèle serviteur, André le Pâté, et le magicien anglais. Celui-ci leur prépare un breuvage qui leur permettra de remonter le temps et ainsi de pouvoir empêcher la mort de Rosaline. Mais il oublie d'inclure dans la potion un élément crucial et les deux hommes se retrouvent plongés dans les couloirs du temps.
Les deux lascars aboutissent en l'an 2000 à Chicago, dans une chambre reconstruite dans un grand musée à l'occasion d'une exposition sur le Moyen-Âge. Cet événement culturel a été organisé par la conservatrice Julia Malfète qui n'est autre que la descendante de Rosaline et constitue la clé de leur retour chez eux. "
Juste la Fin du Monde,Juste la Fin du Monde,2016,Picture 1337,Y,,"Après douze ans d’absence, un écrivain retourne dans son village natal pour annoncer à sa famille sa mort prochaine. 
Ce sont les retrouvailles avec le cercle familial où l’on se dit l’amour que l’on se porte à travers les éternelles querelles, et où l’on dit malgré nous les rancoeurs qui parlent au nom du doute et de la solitude. "
La Ligue des Justiciers,Justice League,2017,Picture 2147,A,A,"Après avoir retrouvé foi en l'humanité, Bruce Wayne, inspiré par l'altruisme de Superman, sollicite l'aide de sa nouvelle alliée, Diana Prince, pour affronter un ennemi plus redoutable que jamais. Ensemble, Batman et Wonder Woman ne tardent pas à recruter une équipe de méta-humains pour faire face à cette menace inédite. Pourtant, malgré la force que représente cette ligue de héros sans précédent – Batman, Wonder Woman, Aquaman, Cyborg et Flash –, il est peut-être déjà trop tard pour sauver la planète d'une attaque apocalyptique…"
La Ligue des Justiciers 1 - Paradoxe Temporel,Justice League 1 - The Flashpoint Paradox,2013,Picture 24648,T,T,"Nous avons tous déjà rêvé de pouvoir changer le passé. Pour Flash, le rêve devient réalité. Grâce à sa super-vitesse, il retourne dans le passé pour sauver sa mère d’un crime fatal. Ses intentions sont bonnes, mais les conséquences de ses actes pourraient bien être désastreuses : en voyageant dans le temps, Flash a créé un univers parallèle dans lequel une guerre entre Wonderwoman et Aquaman fait rage. L’avenir de l’univers est menacé mais Superman est introuvable, et Batman est devenu aigri et violent. Envers et contre tout, Flash s’allie avec Batman et, avec l’aide de l’agent gouvernemental Cyborg, ils se battent pour restaurer l’espace-temps originel et rétablir la paix…"
La Ligue des Justiciers 2 - Guerre,Justice League 2 - War,2014,Picture 24649,T,T,"La Terre est menacée de destruction par le terrible Darkseid et sa horde d'aliens. Un seul espoir : la Justice League, un groupe de super-héros unis pour défendre l'humanité."
La Ligue des Justiciers 3 - Dieux et Monstres,Justice League 3 - Gods and Monsters,2015,Picture 24650,T,T,"Dans un univers alternatif, une Ligue des justiciers composée du fils du général Zod, de Kirk Langstrom et de Bekka, une New Gods, utilise la force brute pour remplir ses objectifs. Cela entraîne des frictions avec le gouvernement américain et lorsqu'une série de meurtres touchant des scientifiques a lieu, la Ligue est soupçonnée de ces crimes."
